,host_id,host_response_time,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,room_type,accommodates,bedrooms,beds,availability_365,number_of_reviews_l30d,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,county,essentials,other_amenities,bathrooms_number,number_host_verifications,host_experience,annual_listing_revenue
29166,34703692,1,87,1,2,1,0,2,1,1,295,1,4.93,0,2,1.53,0,1,40,1.0,6,6,15660.0
29168,147983932,0,100,1,1,1,0,2,1,1,125,1,4.76,1,1,0.88,0,1,42,1.0,4,4,27000.0
29170,270570166,0,78,0,0,0,0,2,1,1,36,2,4.87,0,1,20.91,0,1,28,1.0,2,2,20596.5
29175,27376717,0,100,1,1,1,0,5,2,3,12,10,4.92,0,1,5.03,0,1,53,1.0,8,6,33966.0
29176,270597082,0,97,1,1,0,2,2,1,1,349,9,4.93,1,1,2.44,0,1,17,1.0,2,2,6480.0
29177,7319183,0,100,1,6,1,0,4,2,2,56,3,4.67,1,6,3.18,0,1,38,1.0,7,8,46125.0
29178,126371915,0,100,1,1,1,0,4,1,2,250,0,4.57,1,1,0.25,0,1,54,1.0,10,4,33750.0
29179,89441417,0,100,1,4,1,2,1,1,1,340,0,5.0,1,4,0.33,0,1,15,1.0,5,5,120.0
29180,270626949,0,100,1,1,0,0,6,3,4,128,0,5.0,0,1,0.11,0,1,48,3.0,2,2,27450.0
29181,218305741,0,100,1,2,1,2,2,1,1,65,0,5.0,0,2,0.18,0,1,35,1.0,5,3,2232.0
29182,120810747,1,97,0,10,1,0,2,1,1,77,0,4.5,1,10,0.47,0,1,3,2.0,8,4,1620.0
29183,220602066,0,98,1,2,1,0,2,1,1,97,3,4.98,0,1,1.71,0,1,61,1.0,4,3,14328.0
29184,183748799,0,100,1,42,1,0,5,2,3,362,0,4.5,1,53,0.19,0,1,44,3.5,3,3,2853.0
29185,94492934,0,98,1,3,1,0,4,1,3,350,6,4.87,1,3,3.8,0,1,30,1.0,4,5,32436.0
29190,266529358,0,83,1,2,1,2,2,1,1,70,0,4.75,0,2,0.14,0,1,22,1.5,4,2,120.0
29191,1233863,1,89,1,0,1,0,4,2,2,275,0,4.91,0,1,0.8,0,1,50,2.0,9,10,42750.0
29192,266529358,0,83,1,2,1,0,4,2,2,248,1,4.85,0,2,3.75,0,1,35,1.5,4,2,10395.0
29194,15050120,0,100,1,1,1,0,6,4,3,272,4,4.87,0,1,1.37,0,1,66,2.0,6,7,30010.5
29195,270832533,0,98,0,10,1,2,2,1,1,347,3,4.83,0,4,6.14,0,1,22,1.0,5,2,12902.400000000001
29200,15643925,0,93,1,8,1,0,4,1,2,284,10,4.82,0,5,10.2,0,1,31,1.0,8,7,19776.0
29202,215603527,2,67,0,12,1,2,1,1,2,365,0,3.0,1,11,0.04,0,1,21,1.5,4,3,2250.0
29203,77561434,0,61,0,13,1,0,4,2,2,94,0,4.86,0,39,0.25,0,1,49,2.0,5,5,8269.5
