,id,host_response_time,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,county,essentials,other_amenities,total_bookings,annual_listing_revenue
23944,47036903,1,73,0,1,1,34.05432,-118.32126,0,2,1.5,1,2,31,62,2,4.0,3.5,2.5,3.5,3.5,3.5,3.5,0,2,0,1,18,2.985074626865672,253.7313432835821
23945,47038697,0,84,0,1,1,34.04034,-118.34366,0,11,2.0,3,13,30,365,2,4.0,3.5,3.5,4.5,5.0,3.5,4.0,1,25,0,1,48,2.985074626865672,671.6417910447761
23946,47045345,0,99,1,1,1,34.14454,-118.00356,0,4,1.0,1,2,1,30,36,4.58,4.81,4.72,4.83,4.83,4.69,4.47,1,2,0,1,46,53.73134328358209,6340.298507462687
23947,47048402,1,100,0,1,1,33.98603,-118.45696,0,8,3.5,3,4,30,120,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,45,1.492537313432836,671.6417910447761
23951,47052008,0,98,0,1,1,33.95849,-118.38327,0,4,1.0,1,1,30,155,3,5.0,5.0,5.0,5.0,5.0,4.67,5.0,1,53,0,1,22,4.477611940298507,385.07462686567163
23953,47054681,0,98,0,1,1,34.00581,-118.45761,0,4,1.0,0,2,1,1125,3,4.33,4.67,4.67,4.33,4.33,5.0,4.33,1,1,0,1,27,4.477611940298507,788.0597014925372
23956,47059260,0,67,0,1,1,34.19358,-118.60232,0,4,1.0,1,3,31,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,51,1.492537313432836,132.8358208955224
23957,47059360,0,73,0,1,1,34.09592,-118.35387,0,2,2.0,2,2,31,365,3,4.67,4.33,4.33,4.67,4.67,5.0,4.67,0,62,0,1,35,4.477611940298507,514.9253731343283
23959,47061459,1,83,0,1,1,34.05092,-118.3957,0,4,1.0,2,2,31,390,6,4.83,5.0,4.83,5.0,5.0,5.0,4.67,0,49,0,1,36,8.955223880597014,1164.1791044776119
23960,47062599,1,83,0,1,1,34.05616,-118.42703,0,4,2.0,2,2,31,400,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,49,0,1,51,1.492537313432836,328.3582089552239
23961,47063230,0,99,0,1,1,33.99002,-117.90452,0,3,1.0,0,1,1,5,34,4.68,4.74,4.44,4.91,4.94,4.82,4.68,0,4,0,1,15,50.74626865671642,3653.731343283582
